	latitude	longitude	elevation
X9.OL8.*.HHZ	56.17911	161.7836	9.883000
X9.OL8.*.HHN	56.17911	161.7836	9.883000
X9.OL8.*.HHE	56.17911	161.7836	9.883000
X9.OL9.*.HHZ	56.28348	162.1685	30.02800
X9.OL9.*.HHN	56.28348	162.1685	30.02800
X9.OL9.*.HHE	56.28348	162.1685	30.02800
X9.B01.*.SHZ	56.00501	160.3316	1532.669
X9.B01.*.SHN	56.00501	160.3316	1532.669
X9.B01.*.SHE	56.00501	160.3316	1532.669
X9.B02.*.SHZ	56.14483	160.3323	1354.483
X9.B02.*.SHN	56.14483	160.3323	1354.483
X9.B02.*.SHE	56.14483	160.3323	1354.483
X9.B04.*.SHZ	56.22241	160.6878	1132.351
X9.B04.*.SHN	56.22241	160.6878	1132.351
X9.B04.*.SHE	56.22241	160.6878	1132.351
X9.B05.*.SHZ	56.11511	160.7530	1377.475
X9.B05.*.SHN	56.11511	160.7530	1377.475
X9.B05.*.SHE	56.11511	160.7530	1377.475
X9.B07.*.SHZ	55.98589	160.6790	1511.032
X9.B07.*.SHN	55.98589	160.6790	1511.032
X9.B07.*.SHE	55.98589	160.6790	1511.032
X9.B08.*.SHZ	55.93296	160.6059	1429.758
X9.B08.*.SHN	55.93296	160.6059	1429.758
X9.B08.*.SHE	55.93296	160.6059	1429.758
X9.B09.*.SHZ	56.19013	160.6780	1268.108
X9.B09.*.SHN	56.19013	160.6780	1268.108
X9.B09.*.SHE	56.19013	160.6780	1268.108
D0.BZG.*.HHZ	55.9399	160.6961	1150
D0.BZG.*.HHN	55.9399	160.6961	1150
D0.BZG.*.HHE	55.9399	160.6961	1150
D0.ESO.*.HHZ	55.9322	158.6948	490
D0.ESO.*.HHN	55.9322	158.6948	490
D0.ESO.*.HHE	55.9322	158.6948	490
D0.KBG.*.HHZ	56.2584	162.7127	30
D0.KBG.*.HHN	56.2584	162.7127	30
D0.KBG.*.HHE	56.2584	162.7127	30
D0.KIR.*.HHZ	55.9530	160.3420	1470
D0.KIR.*.HHN	55.9530	160.3420	1470
D0.KIR.*.HHE	55.9530	160.3420	1470
D0.KLY.*.HHZ	56.3167	160.8574	35
D0.KLY.*.HHN	56.3167	160.8574	35
D0.KLY.*.HHE	56.3167	160.8574	35
D0.KOZ.*.HHZ	56.0576	159.8721	60
D0.KOZ.*.HHN	56.0576	159.8721	60
D0.KOZ.*.HHE	56.0576	159.8721	60
D0.TUMD.*.HHZ	55.2026	160.3989	478
D0.TUMD.*.HHN	55.2026	160.3989	478
